chain,n,different_weights,beta_max,epsilon,algorithm,sample_complexity,TPAsteps,true_Q,estimate_Q,error
logical,3,7,0.1,0.04,parallelGibbs,388921,81291,1.379741516891444,1.3802303191962948,0.0003542709260151433
logical,3,7,0.1,0.025,Kolmogorov,33482055,86079,1.379741516891444,,
logical,3,7,0.1,0.025,parallelGibbs,619866,86570,1.379741516891444,1.3791372360324818,-0.00043796671446372226
logical,3,7,0.1,0.01,Kolmogorov,181510253,100517,1.379741516891444,,
logical,3,7,0.1,0.01,parallelGibbs,1659836,88082,1.379741516891444,1.3800791739758844,0.0002447248852823769
logical,3,7,0.1,0.1,Kolmogorov,1669471,74647,1.379741516891444,,
logical,3,7,0.1,0.1,parallelGibbs,125460,72650,1.379741516891444,1.3794273778074262,-0.00022767966330794476
logical,3,7,0.1,0.075,Kolmogorov,3202373,73195,1.379741516891444,,
logical,3,7,0.1,0.075,parallelGibbs,164298,80666,1.379741516891444,1.380024327973611,0.00020497395976337707
logical,3,7,0.1,0.05,Kolmogorov,5647754,78806,1.379741516891444,,
logical,3,7,0.1,0.05,parallelGibbs,226575,83117,1.379741516891444,1.3790660039345752,-0.0004895938468175709
logical,3,7,0.1,0.04,Kolmogorov,7164165,78021,1.379741516891444,,
logical,3,7,0.1,0.04,parallelGibbs,338895,76538,1.379741516891444,1.3807793703687716,0.0007522086308353604
logical,3,7,0.1,0.025,Kolmogorov,32450082,90258,1.379741516891444,,
logical,3,7,0.1,0.025,parallelGibbs,565063,95630,1.379741516891444,1.379491252343594,-0.00018138509625609256
logical,3,7,0.1,0.01,Kolmogorov,161696411,100451,1.379741516891444,,
logical,3,7,0.1,0.01,parallelGibbs,1607130,97714,1.379741516891444,1.379371259681932,-0.0002683525899446204
logical,3,7,0.1,0.1,Kolmogorov,2041849,77425,1.379741516891444,,
logical,3,7,0.1,0.1,parallelGibbs,131285,70155,1.379741516891444,1.3807020604925422,0.0006961764862032371
logical,3,7,0.1,0.075,Kolmogorov,3319011,72469,1.379741516891444,,
logical,3,7,0.1,0.075,parallelGibbs,146408,77717,1.379741516891444,1.3809122169031793,0.0008484922700398023
logical,3,7,0.1,0.05,Kolmogorov,6599144,79652,1.379741516891444,,
logical,3,7,0.1,0.05,parallelGibbs,263388,86110,1.379741516891444,1.3793557580450593,-0.0002795877645646039
logical,3,7,0.1,0.04,Kolmogorov,12959428,81316,1.379741516891444,,
logical,3,7,0.1,0.04,parallelGibbs,328214,83964,1.379741516891444,1.3784787760783181,-0.0009152009979164211
logical,3,7,0.1,0.025,Kolmogorov,36614903,83903,1.379741516891444,,
logical,3,7,0.1,0.025,parallelGibbs,580068,86216,1.379741516891444,1.379498326537156,-0.00017625790868114333
logical,3,7,0.1,0.01,Kolmogorov,149351064,98112,1.379741516891444,,
logical,3,7,0.1,0.01,parallelGibbs,2077099,101479,1.379741516891444,1.3794677663364585,-0.00019840713034580126
logical,3,7,0.1,0.1,Kolmogorov,1497277,74317,1.379741516891444,,
logical,3,7,0.1,0.1,parallelGibbs,105870,71130,1.379741516891444,1.3819595560055167,0.001607575829906116
logical,3,7,0.1,0.075,Kolmogorov,2106781,75115,1.379741516891444,,
logical,3,7,0.1,0.075,parallelGibbs,174626,75798,1.379741516891444,1.3799678237196447,0.00016402117746694422
logical,3,7,0.1,0.05,Kolmogorov,7979927,82835,1.379741516891444,,
logical,3,7,0.1,0.05,parallelGibbs,299310,73204,1.379741516891444,1.379578475587557,-0.00011816800602926225
logical,3,7,0.1,0.04,Kolmogorov,11149657,85513,1.379741516891444,,
logical,3,7,0.1,0.04,parallelGibbs,495314,92113,1.379741516891444,1.3800190898252735,0.00020117748899450838
logical,3,7,0.1,0.025,Kolmogorov,24819838,85030,1.379741516891444,,
logical,3,7,0.1,0.025,parallelGibbs,793925,91512,1.379741516891444,1.3789977546874979,-0.000539059088126792
logical,3,7,0.1,0.01,Kolmogorov,229906119,98799,1.379741516891444,,
logical,3,7,0.1,0.01,parallelGibbs,1603871,92031,1.379741516891444,1.3799044448767,0.00011808587569572815
logical,3,7,0.1,0.1,Kolmogorov,1822138,75778,1.379741516891444,,
logical,3,7,0.1,0.1,parallelGibbs,122997,73962,1.379741516891444,1.3798551853004484,8.238384335967908e-05
logical,3,7,0.1,0.075,Kolmogorov,3903686,76668,1.379741516891444,,
logical,3,7,0.1,0.075,parallelGibbs,156250,73664,1.379741516891444,1.378778908233231,-0.0006976731847438966
logical,3,7,0.1,0.05,Kolmogorov,7862314,82318,1.379741516891444,,
logical,3,7,0.1,0.05,parallelGibbs,248020,85939,1.379741516891444,1.380714198594659,0.0007049738601809796
logical,3,7,0.1,0.04,Kolmogorov,7610117,78437,1.379741516891444,,
logical,3,7,0.1,0.04,parallelGibbs,395576,81677,1.379741516891444,1.380833094096568,0.0007911461616254556
logical,3,7,0.1,0.025,Kolmogorov,24605200,82936,1.379741516891444,,
logical,3,7,0.1,0.025,parallelGibbs,626355,90126,1.379741516891444,1.3793914674999266,-0.0002537065002624628
logical,3,7,0.1,0.01,Kolmogorov,274892423,98087,1.379741516891444,,
logical,3,7,0.1,0.01,parallelGibbs,1617090,98889,1.379741516891444,1.3792730564746656,-0.00033952766590206185
